chart,rater,answer
PP-MB-dd12-we05-sano-ro000-pano-ad09-ftse-fs16-llcr-sm0,0000194d-2a9b-4fcf-9692-97e609b7f679,1
PP-CR-dd12-we05-sa00-ro000-pa01-ad09-ftse-fs16-llcr-sm0,000f0b1f-461a-4059-b105-c5f11dbb973e,1
PP-MG-dd02-we05-sano-ro000-pa01-ad09-ftse-fs16-llcr-sm0,000161e0-7c39-42a5-9210-098e2219a629,1
PB-MB-dd06-gr00-pa01-sano-bw6-bov-bs000-e10a1-ftse-fs16-llur-sm0,0012c891-b322-40aa-9be0-7b1179dab1ba,1
PP-MB-dd12-we05-sano-ro000-pa03-ad09-ftse-fs16-llcr-sm0,0001483e-3c8d-4556-82b0-3bb1f2503241,1
PB-CR-dd06-gr00-pano-sano-bw6-boh-bs000-e00a1-ftse-fs16-llur-sm0,00007a14-1e23-4731-b392-1a04574385b4,1
PP-MG-dd06-we05-sano-ro000-pa03-ad09-ftse-fs16-llcr-sm0,00000315-0610-4913-8096-f2f47a834634,1
PP-MB-dd12-we05-sano-ro000-pa03-ad09-ftse-fs16-llcr-sm0,027b7c42-0946-498b-aa48-ce7249b8293a,1
PP-CL-dd06-we05-sano-ro000-pa03-ad09-ftse-fs16-llcr-sm0,00005001-578a-4609-ac74-787a8a097156,1
PD-CL-dd06-dh5-we05-sano-ro000-pa03-ad09-ftse-fs16-llcr-sm0,001b54b2-3ca5-4590-8c9a-e82db20ecdf0,1
PP-CL-dd02-we05-sano-ro000-pano-ad09-ftse-fs16-llcr-sm0,00031e88-a4f7-4c22-9592-7bb9d1e48f33,1
PB-MB-dd06-gr00-pa03-sano-bw6-bov-bs000-e00a1-ftse-fs16-llur-sm0,000b16e9-b5ec-45c1-999c-1c3cd4850866,1
PB-CR-dd06-gr00-pa05-sano-bw6-boh-bs000-e10a1-ftse-fs16-llur-sm0,0000c758-db5e-4e48-bb27-dd11b8030c4d,1
PB-MG-dd06-gr00-pa05-sa00-bw6-boh-bs000-e00a1-ftse-fs16-llur-sm0,0000a824-d7eb-46ef-87e8-908dab62d93a,1
PD-MB-dd02-dh5-we05-sano-ro000-pano-ad09-ftse-fs16-llcr-sm0,00488089-4e99-4080-994b-58a1bfa3bd00,1
PB-CR-dd06-gr00-pa05-sano-bw6-bov-bs000-e11a1-ftse-fs16-llur-sm0,00164d56-5de6-4607-894b-ee68436c2591,1
PB-MB-dd06-gr00-pa03-sa00-bw6-boh-bs000-e10a1-ftse-fs16-llur-sm0,00003fbc-5aaa-496c-9219-60b630038aa9,1
PD-CR-dd12-dh5-we05-sa00-ro000-pa03-ad09-ftse-fs16-llcr-sm0,011f6582-1f1d-4c51-9ac1-21a2fe104888,1
PP-MG-dd06-we05-sano-ro000-pa03-ad09-ftse-fs16-llcr-sm0,0000a4cc-874c-42a7-95be-5a99853b7e41,1
PD-CL-dd12-dh5-we05-sa00-ro000-pa01-ad09-ftse-fs16-llcr-sm0,00042e04-cf55-45e7-a2a3-135b4f882e98,1
PB-CL-dd06-gr00-pano-sano-bw6-bov-bs000-e00a1-ftse-fs16-llur-sm0,0040b016-d9d4-4b28-854d-caef89633a01,1
PB-CL-dd06-gr00-pa03-sano-bw6-bov-bs000-e10a1-ftse-fs16-llur-sm0,01b17a73-b28d-45a1-ad53-58eaaa136f09,1
PB-MG-dd06-gr00-pa05-sa00-bw6-boh-bs000-e11a1-ftse-fs16-llur-sm0,07512827-ea61-4501-af5f-e7485b8a1e98,1
PB-MG-dd06-gr00-pa01-sano-bw6-bov-bs000-e00a1-ftse-fs16-llur-sm0,0000adb5-f2e0-4080-ae2f-91072664ecf3,1
PB-MG-dd06-gr00-pa05-sa00-bw6-boh-bs000-e00a1-ftse-fs16-llur-sm0,000d0f38-2bfb-4ebd-9ce0-c7f596e27680,1
PP-MG-dd06-we05-sano-ro000-pa01-ad09-ftse-fs16-llcr-sm0,002d826b-0034-4fec-b7b5-83643e81f686,1
PD-CL-dd02-dh5-we05-sa00-ro000-pa03-ad09-ftse-fs16-llcr-sm0,0003d3ee-e14a-4637-aa75-37c5bc33d62b,1
PP-CR-dd02-we05-sa00-ro000-pa03-ad09-ftse-fs16-llcr-sm0,0000588e-87a5-423c-8f41-f00afdc4ef29,1
PB-MB-dd06-gr00-pa03-sano-bw6-bov-bs000-e00a1-ftse-fs16-llur-sm0,00025c33-6fdb-4b37-9dbc-474765462476,1
PP-MG-dd12-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0,0001913c-b9d5-414f-8405-976a1271861b,1
PB-CL-dd06-gr00-pa05-sano-bw6-boh-bs000-e11a1-ftse-fs16-llur-sm0,00100262-6324-467e-a17d-8c4afa633ce1,1
PB-MG-dd06-gr00-pano-sano-bw6-bov-bs000-e10a1-ftse-fs16-llur-sm0,0001eb08-ba6f-4e5f-81fe-c90128c938bc,1
PB-MB-dd06-gr00-pa01-sa00-bw6-bov-bs000-e11a1-ftse-fs16-llur-sm0,00004335-67e7-4f04-886a-670308716cab,1
PP-MB-dd02-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0,0002756a-f5cc-4d4c-8420-ce61a968c4c9,1
PD-CL-dd12-dh5-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0,0000437b-8436-44d0-97b4-3a29ecc2767f,1
PD-MB-dd06-dh5-we05-sa00-ro000-pano-ad09-ftse-fs16-llcr-sm0,00003ae2-ba77-4331-9525-2a7b89416468,1
PB-CL-dd06-gr00-pa03-sa00-bw6-bov-bs000-e11a1-ftse-fs16-llur-sm0,000651bf-65ad-4a59-9a77-7f2a5660530b,1
PB-MG-dd06-gr00-pa05-sa00-bw6-boh-bs000-e11a1-ftse-fs16-llur-sm0,00025c33-6fdb-4b37-9dbc-474765462476,1
PP-CL-dd06-we05-sa00-ro000-pa01-ad09-ftse-fs16-llcr-sm0,0003b1e9-1510-4dbf-bbcc-80c47a762602,1
PB-CR-dd06-gr00-pa01-sano-bw6-bov-bs000-e10a1-ftse-fs16-llur-sm0,00016e3d-9cfd-4451-8d95-294cfacd8523,1
PB-MG-dd06-gr00-pa05-sano-bw6-bov-bs000-e11a1-ftse-fs16-llur-sm0,00038103-a6b4-4aa3-92f9-97e7662163c4,1
PB-CL-dd06-gr00-pano-sano-bw6-bov-bs000-e00a1-ftse-fs16-llur-sm0,0001cbb2-eced-423d-a149-f6ea8cb4e631,1
PB-CR-dd06-gr00-pa05-sano-bw6-boh-bs000-e00a1-ftse-fs16-llur-sm0,00057e66-5951-47f0-8276-b31d3cd1e6b1,1
PB-CL-dd06-gr00-pa03-sa00-bw6-bov-bs000-e00a1-ftse-fs16-llur-sm0,0000c37a-dd1a-416a-9e44-38c42ca1477f,1
PB-CL-dd06-gr00-pano-sa00-bw6-boh-bs000-e10a1-ftse-fs16-llur-sm0,006acc2c-d450-4ac1-88e0-08549f14e372,1
PB-MB-dd06-gr00-pa03-sano-bw6-boh-bs000-e11a1-ftse-fs16-llur-sm0,003405c4-82af-4ae6-a88c-93e135bc8eb4,1
PB-MB-dd06-gr00-pa03-sano-bw6-bov-bs000-e11a1-ftse-fs16-llur-sm0,0003292a-1358-4b60-8c5b-193d843f59cc,1
PP-MB-dd06-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0,00240d96-d6a2-464f-a987-4311914c4ae1,1
PP-CR-dd06-we05-sa00-ro000-pa03-ad09-ftse-fs16-llcr-sm0,0001034c-2f15-4866-9368-447dac98cfff,1
PD-CR-dd02-dh5-we05-sa00-ro000-pa01-ad09-ftse-fs16-llcr-sm0,0009d99f-dbb8-419b-a946-1ac9cc81c45e,1
PB-MG-dd06-gr00-pano-sa00-bw6-bov-bs000-e11a1-ftse-fs16-llur-sm0,00059677-8912-4e23-bedc-7582e5b2257e,1
PP-MB-dd12-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0,00027826-04da-48b1-b528-946b32336384,1
PB-MG-dd06-gr00-pano-sano-bw6-bov-bs000-e00a1-ftse-fs16-llur-sm0,001326a7-789b-4224-85b8-012018fca10a,1
PP-MG-dd06-we05-sano-ro000-pa01-ad09-ftse-fs16-llcr-sm0,0004774e-a597-44e3-81fb-143f4187b2f0,1
PD-CR-dd12-dh5-we05-sano-ro000-pa05-ad09-ftse-fs16-llcr-sm0,00000230-1437-4850-a93e-84159d8f75b8,1
PP-MB-dd02-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0,0007eeef-f3dd-40f6-b0c9-a96efdcfce6d,1
PB-CR-dd06-gr00-pano-sano-bw6-bov-bs000-e10a1-ftse-fs16-llur-sm0,00061ceb-544f-4ded-974a-ec39fee2385d,1
PB-MB-dd06-gr00-pa03-sa00-bw6-boh-bs000-e00a1-ftse-fs16-llur-sm0,00061ceb-544f-4ded-974a-ec39fee2385d,1
PB-MB-dd06-gr00-pa05-sano-bw6-bov-bs000-e00a1-ftse-fs16-llur-sm0,00015cef-d146-409d-aa0f-2eb686414e2d,1
PB-CL-dd06-gr00-pa05-sa00-bw6-bov-bs000-e11a1-ftse-fs16-llur-sm0,00007d2a-be05-4ba7-880f-27d419eba899,1
PD-MB-dd02-dh5-we05-sa00-ro000-pa03-ad09-ftse-fs16-llcr-sm0,000b5526-d49d-46f6-ac0a-2f2d16cf80b2,1
PB-MB-dd06-gr00-pa01-sa00-bw6-boh-bs000-e10a1-ftse-fs16-llur-sm0,006a2e61-b156-4348-a00e-aaa653f7d9e3,1
PP-MG-dd02-we05-sano-ro000-pano-ad09-ftse-fs16-llcr-sm0,000f0b1f-461a-4059-b105-c5f11dbb973e,1
PB-CL-dd06-gr00-pano-sano-bw6-boh-bs000-e11a1-ftse-fs16-llur-sm0,00057e66-5951-47f0-8276-b31d3cd1e6b1,1
PB-MG-dd06-gr00-pano-sano-bw6-bov-bs000-e11a1-ftse-fs16-llur-sm0,00034660-5fa5-4842-8e06-4064482b95d3,1
PP-MB-dd06-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0,0003292a-1358-4b60-8c5b-193d843f59cc,1
PB-CR-dd06-gr00-pa01-sa00-bw6-boh-bs000-e00a1-ftse-fs16-llur-sm0,00015b35-7f05-4422-b141-0f254cc110c6,1
PB-MB-dd06-gr00-pa01-sano-bw6-bov-bs000-e11a1-ftse-fs16-llur-sm0,00002806-ac75-4cf8-a1a5-8f3ffcea99ae,1
PP-MG-dd12-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0,01a29c90-b415-45ac-88a0-29325e962be0,1
PP-MG-dd02-we05-sano-ro000-pa05-ad09-ftse-fs16-llcr-sm0,00038103-a6b4-4aa3-92f9-97e7662163c4,1
PD-MB-dd12-dh5-we05-sano-ro000-pa05-ad09-ftse-fs16-llcr-sm0,00012808-d1a8-48a9-871c-021efff40483,1
PP-CL-dd02-we05-sa00-ro000-pa03-ad09-ftse-fs16-llcr-sm0,00000df9-60c9-4e3b-8226-049a1d91165e,1
PB-MB-dd06-gr00-pa05-sa00-bw6-bov-bs000-e00a1-ftse-fs16-llur-sm0,0007e580-bf4d-40b7-9e6d-66b7c2d57e06,1
PB-MB-dd06-gr00-pano-sa00-bw6-bov-bs000-e11a1-ftse-fs16-llur-sm0,00045105-b516-4f17-8bb5-909b31f394ab,1
PB-MB-dd06-gr00-pa03-sa00-bw6-boh-bs000-e00a1-ftse-fs16-llur-sm0,00015b35-7f05-4422-b141-0f254cc110c6,1
PB-CR-dd06-gr00-pa03-sano-bw6-boh-bs000-e11a1-ftse-fs16-llur-sm0,004b4b9c-884e-4f44-a9c4-f651ae86a268,1
PB-MG-dd06-gr00-pa03-sano-bw6-bov-bs000-e00a1-ftse-fs16-llur-sm0,00067f56-4742-4649-b211-f1f770c4164b,1
PB-CL-dd06-gr00-pa03-sano-bw6-boh-bs000-e11a1-ftse-fs16-llur-sm0,000b5526-d49d-46f6-ac0a-2f2d16cf80b2,1
PD-MG-dd02-dh5-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0,00000fcf-82fa-4121-92cd-b961bcc66ad5,1
PD-CL-dd12-dh5-we05-sano-ro000-pano-ad09-ftse-fs16-llcr-sm0,00164d56-5de6-4607-894b-ee68436c2591,1
PB-MB-dd06-gr00-pa01-sano-bw6-bov-bs000-e00a1-ftse-fs16-llur-sm0,00003ae2-ba77-4331-9525-2a7b89416468,1
PD-CR-dd06-dh5-we05-sano-ro000-pa05-ad09-ftse-fs16-llcr-sm0,0027c6fc-1d1c-41c3-8246-78f6328be0a9,1
PB-MG-dd06-gr00-pa05-sa00-bw6-bov-bs000-e00a1-ftse-fs16-llur-sm0,0009d99f-dbb8-419b-a946-1ac9cc81c45e,1
PB-MG-dd06-gr00-pa05-sa00-bw6-boh-bs000-e10a1-ftse-fs16-llur-sm0,0004b7b2-f080-4f82-98c6-571e74827a6c,1
PP-MG-dd02-we05-sano-ro000-pa05-ad09-ftse-fs16-llcr-sm0,00007d2a-be05-4ba7-880f-27d419eba899,1
PP-CR-dd12-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0,0004f34e-f261-46e0-bb77-999d7f6f4207,1
PB-MG-dd06-gr00-pa01-sano-bw6-boh-bs000-e10a1-ftse-fs16-llur-sm0,0007eeef-f3dd-40f6-b0c9-a96efdcfce6d,1
PP-CR-dd02-we05-sa00-ro000-pa01-ad09-ftse-fs16-llcr-sm0,00005a61-3972-4014-a792-4af28a455848,1
PB-MG-dd06-gr00-pano-sano-bw6-bov-bs000-e11a1-ftse-fs16-llur-sm0,00005737-dade-4638-9921-932f895c910a,1
PP-CR-dd06-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0,00012d73-c21d-448d-9d05-e615578879a2,1
PB-MG-dd06-gr00-pa03-sano-bw6-bov-bs000-e10a1-ftse-fs16-llur-sm0,000042c2-9da2-47b6-a4a8-5f1110b04b0b,1
PD-MB-dd06-dh5-we05-sano-ro000-pano-ad09-ftse-fs16-llcr-sm0,000f0ba6-b97d-4027-9c34-fde1d69c4b86,1
PP-MG-dd12-we05-sano-ro000-pa03-ad09-ftse-fs16-llcr-sm0,00010936-3fc0-4c96-be91-7c7531b28202,1
PB-MB-dd06-gr00-pa03-sano-bw6-bov-bs000-e11a1-ftse-fs16-llur-sm0,00007a14-1e23-4731-b392-1a04574385b4,1
PB-CL-dd06-gr00-pano-sa00-bw6-boh-bs000-e10a1-ftse-fs16-llur-sm0,000a7abd-11d0-46a2-bc8a-6ef47e52eadf,1
PB-CR-dd06-gr00-pa03-sa00-bw6-boh-bs000-e10a1-ftse-fs16-llur-sm0,0000da92-099b-456f-b73d-acb4bd8c07e7,1
PD-CL-dd12-dh5-we05-sano-ro000-pa03-ad09-ftse-fs16-llcr-sm0,0007d822-f11b-4010-b397-9dee8db030a6,1
PB-CL-dd06-gr00-pa05-sano-bw6-bov-bs000-e10a1-ftse-fs16-llur-sm0,00139590-835d-4305-a25d-3e934589a668,1
PB-CR-dd06-gr00-pa03-sano-bw6-bov-bs000-e00a1-ftse-fs16-llur-sm0,00001510-8f60-41b8-bc87-7ab223d06a42,1
PD-MB-dd02-dh5-we05-sa00-ro000-pa03-ad09-ftse-fs16-llcr-sm0,00005a61-3972-4014-a792-4af28a455848,1
PD-CR-dd06-dh5-we05-sano-ro000-pa01-ad09-ftse-fs16-llcr-sm0,0003dc49-fa50-4dfe-95a3-095d7d6ef82c,1
PD-MG-dd02-dh5-we05-sa00-ro000-pa03-ad09-ftse-fs16-llcr-sm0,0007eeef-f3dd-40f6-b0c9-a96efdcfce6d,1
PB-CR-dd06-gr00-pa01-sa00-bw6-bov-bs000-e11a1-ftse-fs16-llur-sm0,000b16e9-b5ec-45c1-999c-1c3cd4850866,1
PP-CL-dd02-we05-sa00-ro000-pa03-ad09-ftse-fs16-llcr-sm0,00009109-7075-4758-ba31-b1902bb6b506,1
PP-CR-dd02-we05-sano-ro000-pa03-ad09-ftse-fs16-llcr-sm0,00240d96-d6a2-464f-a987-4311914c4ae1,1
PB-CL-dd06-gr00-pa05-sa00-bw6-boh-bs000-e11a1-ftse-fs16-llur-sm0,0001cbb2-eced-423d-a149-f6ea8cb4e631,1
PB-CL-dd06-gr00-pa03-sa00-bw6-bov-bs000-e10a1-ftse-fs16-llur-sm0,00049e57-43c6-4873-9803-da92b4b85414,1
PD-MB-dd12-dh5-we05-sano-ro000-pa03-ad09-ftse-fs16-llcr-sm0,007df7aa-d22a-4b72-9580-b2e50ae6292d,1
PB-CR-dd06-gr00-pano-sa00-bw6-bov-bs000-e00a1-ftse-fs16-llur-sm0,0003dc49-fa50-4dfe-95a3-095d7d6ef82c,1
PD-CR-dd12-dh5-we05-sano-ro000-pano-ad09-ftse-fs16-llcr-sm0,00063156-efbe-4e29-af44-8f7ed3ba6a97,1
PP-CL-dd06-we05-sa00-ro000-pa03-ad09-ftse-fs16-llcr-sm0,00098aae-6ff5-4848-a0bb-102a0b0a934d,1
PD-CL-dd06-dh5-we05-sano-ro000-pano-ad09-ftse-fs16-llcr-sm0,00024a4f-442e-408b-bcf8-0bb60233b6f1,1
PD-MB-dd02-dh5-we05-sa00-ro000-pano-ad09-ftse-fs16-llcr-sm0,0000a4cc-874c-42a7-95be-5a99853b7e41,1
PD-CL-dd06-dh5-we05-sa00-ro000-pano-ad09-ftse-fs16-llcr-sm0,000019e6-acb5-457c-8731-0dfbe1b9bb3d,1
PP-MG-dd02-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0,00004a71-af5f-4fbb-ba7f-f94c3a85ccac,1
PB-MB-dd06-gr00-pa03-sa00-bw6-bov-bs000-e00a1-ftse-fs16-llur-sm0,0007d822-f11b-4010-b397-9dee8db030a6,1
PB-CL-dd06-gr00-pano-sa00-bw6-bov-bs000-e11a1-ftse-fs16-llur-sm0,06be2db3-934f-4bcb-a71a-c1097e544230,1
PB-CR-dd06-gr00-pa01-sano-bw6-bov-bs000-e10a1-ftse-fs16-llur-sm0,00012ed6-bd06-45e6-a0a8-1be468902963,1
PP-CL-dd06-we05-sano-ro000-pa05-ad09-ftse-fs16-llcr-sm0,0001004f-ccbd-47d9-b608-ed76f94e0c0d,1
PB-CR-dd06-gr00-pa05-sano-bw6-boh-bs000-e10a1-ftse-fs16-llur-sm0,00027826-04da-48b1-b528-946b32336384,1
PD-MB-dd12-dh5-we05-sano-ro000-pa03-ad09-ftse-fs16-llcr-sm0,00025734-39be-4e79-84fc-4f9fb0831bb9,1
PP-MB-dd12-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0,000052b9-2e55-48b7-b271-db80e6a54047,1
PP-MG-dd02-we05-sano-ro000-pa05-ad09-ftse-fs16-llcr-sm0,0000085f-93a7-4d9b-9e95-64f6e0508596,1
PD-CL-dd02-dh5-we05-sano-ro000-pa05-ad09-ftse-fs16-llcr-sm0,00968bff-7bf6-40ba-b0e8-023b407eb2cc,1
PB-CL-dd06-gr00-pano-sa00-bw6-boh-bs000-e00a1-ftse-fs16-llur-sm0,00002d88-5d81-4e73-aaac-1eafc6b7505d,1
PB-MG-dd06-gr00-pa03-sano-bw6-boh-bs000-e11a1-ftse-fs16-llur-sm0,00218286-2894-4d83-9be0-c01dc8ebba39,1
PB-CL-dd06-gr00-pa03-sano-bw6-bov-bs000-e10a1-ftse-fs16-llur-sm0,0000a824-d7eb-46ef-87e8-908dab62d93a,1
PB-CL-dd06-gr00-pa03-sano-bw6-boh-bs000-e10a1-ftse-fs16-llur-sm0,000015e9-15f6-4f85-b261-aa92d3221e17,1
PB-CL-dd06-gr00-pa01-sa00-bw6-bov-bs000-e00a1-ftse-fs16-llur-sm0,00004335-67e7-4f04-886a-670308716cab,1
PB-CR-dd06-gr00-pa03-sa00-bw6-bov-bs000-e11a1-ftse-fs16-llur-sm0,000d0f38-2bfb-4ebd-9ce0-c7f596e27680,1
PD-MB-dd12-dh5-we05-sa00-ro000-pa03-ad09-ftse-fs16-llcr-sm0,000d21fc-e5ef-455f-9c20-bbbe51c614de,1
PD-CR-dd02-dh5-we05-sa00-ro000-pano-ad09-ftse-fs16-llcr-sm0,00031e88-a4f7-4c22-9592-7bb9d1e48f33,1
PP-CL-dd02-we05-sano-ro000-pa03-ad09-ftse-fs16-llcr-sm0,0001004f-ccbd-47d9-b608-ed76f94e0c0d,1
PB-MB-dd06-gr00-pa01-sa00-bw6-boh-bs000-e11a1-ftse-fs16-llur-sm0,00218286-2894-4d83-9be0-c01dc8ebba39,1
PB-CL-dd06-gr00-pa05-sano-bw6-bov-bs000-e10a1-ftse-fs16-llur-sm0,00000315-0610-4913-8096-f2f47a834634,1
PB-CL-dd06-gr00-pa05-sa00-bw6-boh-bs000-e00a1-ftse-fs16-llur-sm0,0f5ae7ab-17dd-444d-8482-a8ceeae9f29d,1
PB-MG-dd06-gr00-pano-sa00-bw6-boh-bs000-e00a1-ftse-fs16-llur-sm0,0010dc7e-3325-4b41-823a-08a82534c458,1
PD-CR-dd12-dh5-we05-sano-ro000-pa03-ad09-ftse-fs16-llcr-sm0,026dd1c7-ceba-4bd8-8d48-1524d90add93,1
PP-CR-dd12-we05-sa00-ro000-pa01-ad09-ftse-fs16-llcr-sm0,00012ed6-bd06-45e6-a0a8-1be468902963,1
PD-CR-dd02-dh5-we05-sa00-ro000-pa03-ad09-ftse-fs16-llcr-sm0,000015e9-15f6-4f85-b261-aa92d3221e17,1
PD-CL-dd12-dh5-we05-sa00-ro000-pa05-ad09-ftse-fs16-llcr-sm0,001219d7-5f72-4b57-805a-1c7da66d3842,1
PB-CR-dd06-gr00-pano-sa00-bw6-boh-bs000-e00a1-ftse-fs16-llur-sm0,0013b4d5-e956-4e88-b1e0-6c5ca1433679,1
